time throughput_mbps
0 0.000336
1 0.000336
2 0.000336
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.000592
22 0.000592
23 0.000592
24 0.000592
25 0.00152
26 0.000336
27 0.000928
28 0.0
29 0.0
30 0.0
31 0.0
32 0.0
33 0.0
34 0.0
35 0.0
36 0.0
37 0.0
38 0.0
39 0.000336
40 0.0
41 0.0
42 0.0
43 0.0
44 0.000592
45 0.000592
46 0.001184
47 0.000592
48 0.0016
49 0.001264
50 0.000336
51 0.000672
52 0.001264
53 0.0
54 0.000336
55 0.0
56 0.000672
57 0.002016
58 0.000592
59 0.0
60 0.000672
61 0.000336
62 0.000672
63 0.0
64 0.0
65 0.0
66 0.002192
67 0.000592
68 0.000928
69 0.001264
70 0.001856
71 0.0016
72 0.000336
73 0.000336
74 0.000592
75 0.000336
76 0.000672
77 0.0
78 0.000672
79 0.000672
80 0.000928
81 0.000336
82 0.000336
83 0.000672
84 0.0
85 0.000672
86 0.000336
87 0.000336
88 0.0
89 0.0
90 0.0
91 0.0
92 0.000592
93 0.0
94 0.000592
95 0.000336
96 0.000672
97 0.000336
98 0.0
99 0.0
100 0.000336
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
106 0.0
107 0.0
108 0.0
109 0.0
110 0.0
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.000592
118 0.0
119 0.0
120 0.000336
